"","MON.Open","MON.High","MON.Low","MON.Close","MON.Volume","MON.Adjusted"
"2009-11-18",78.27,80.33,78.15,79.98,10180400,74.58
"2009-11-19",79.21,79.6,77.77,79.57,6305900,74.2
"2009-11-20",79.05,80.22,78.39,80.08,6413100,74.67
"2009-11-23",80.63,80.85,79.18,79.89,6893000,74.49
"2009-11-24",79.7,80.35,79.18,80.13,4718500,74.72
"2009-11-25",80.5,81,80.13,80.87,3618600,75.41
"2009-11-27",79.07,79.86,78.6,79.5,3711400,74.13
"2009-11-30",80.34,80.94,79.5,80.75,5035000,75.3
"2009-12-01",81.19,83.07,81.18,82.51,7191200,76.94
"2009-12-02",82.89,84.32,82.53,83.53,6856300,77.89
"2009-12-03",83.85,83.89,81.11,82.07,6950400,76.53
"2009-12-04",83.5,85,82.13,83.44,7507700,77.8
"2009-12-07",83.72,84.68,82.89,83.44,3884400,77.8
"2009-12-08",82.75,83.4,81.93,82.2,4268100,76.65
"2009-12-09",82.23,83.43,81.81,83.38,3564700,77.75
"2009-12-10",83.62,84.24,83,83.4,4374800,77.77
"2009-12-11",83.67,84.16,82.51,82.84,3376300,77.24
"2009-12-14",83.02,83.98,82.62,83.1,3579400,77.49
"2009-12-15",82.71,83.66,81.48,81.8,3500000,76.27
"2009-12-16",82.01,82.59,81.65,81.99,4409000,76.45
"2009-12-17",81.28,81.86,80.12,80.74,4392500,75.29
"2009-12-18",81.04,81.45,79.96,80.52,5271200,75.08
"2009-12-21",81.87,81.94,80.44,80.97,4082800,75.5
"2009-12-22",80.94,81.49,80.7,81.35,2450300,75.85
"2009-12-23",81.84,82.49,81.1,81.96,2714400,76.42
"2009-12-24",82.26,82.78,82.09,82.38,754000,76.82
"2009-12-28",82.75,83,82.32,82.62,1425800,77.04
"2009-12-29",82.71,82.97,82.05,82.32,1729600,76.76
"2009-12-30",81.8,82.8,81.8,82.61,1429100,77.03
"2009-12-31",82.52,82.94,81.75,81.75,1569800,76.23
"2010-01-04",82.36,83.92,82.36,83.43,3424300,77.79
"2010-01-05",83.76,85.61,83.26,85.27,5616300,79.51
"2010-01-06",83.5,86.99,82.46,86.27,13334800,80.69
"2010-01-07",85.7,86.68,84.8,85.96,5601300,80.4
"2010-01-08",85.58,86.73,85.32,86.65,4298200,81.05
"2010-01-11",86.67,87.06,84.44,85.01,4161700,79.51
"2010-01-12",83.37,83.97,81.64,83.31,6174500,77.92
"2010-01-13",81.8,84.12,80.5,83.95,6910500,78.52
"2010-01-14",83.03,84,81.82,82.79,6313300,77.44
"2010-01-15",82.6,83.09,80.91,81.16,5831300,75.91
"2010-01-19",80.99,82.22,80.78,81.75,4207200,76.47
"2010-01-20",81.13,82.17,80.55,81.42,3963700,76.16
"2010-01-21",81.44,82.38,79.74,79.82,5533600,74.66
"2010-01-22",79.84,79.87,77.82,77.89,5077400,72.86
"2010-01-25",78.51,79.73,77.89,77.9,5011300,72.86
"2010-01-26",77.68,78.8,77.09,77.88,3558100,72.85
"2010-01-27",77.65,78.08,76.98,77.81,5319500,72.78
"2010-01-28",77.64,78.25,76.88,77.34,4463000,72.34
"2010-01-29",78.1,78.38,75.5,75.88,4283700,70.97
"2010-02-01",76.39,77.5,76,77.31,3374500,72.31
"2010-02-02",77.43,77.71,76.66,77.28,3075900,72.28
"2010-02-03",77.18,78.59,76.91,77.54,3755100,72.53
