"","NOV.Open","NOV.High","NOV.Low","NOV.Close","NOV.Volume","NOV.Adjusted"
"2008-08-01",79.16,80.9,78.63,79.47,5889100,74.56
"2008-08-04",79.43,79.43,72.24,73.07,8119400,68.56
"2008-08-05",72.51,75.97,71.06,72.75,7565200,68.26
"2008-08-06",72.75,75.56,72.09,75.35,6933300,70.7
"2008-08-07",76.52,77.77,73.03,73.26,5347400,68.74
"2008-08-08",72.37,72.42,69.91,70.52,6851200,66.17
"2008-08-11",70.76,72.18,65.82,68.46,8281900,64.23
"2008-08-12",68.82,70,67.09,68.75,5841200,64.51
"2008-08-13",69.3,72.75,68.01,72.54,7060700,68.06
"2008-08-14",72.46,72.46,69.5,70.87,5936000,66.5
"2008-08-15",70.6,70.6,67.5,68.46,8880000,64.23
"2008-08-18",69.06,69.66,66.25,66.98,7270500,62.85
"2008-08-19",66.46,70.81,66.17,69.91,6112800,65.59
"2008-08-20",71.47,74.96,70.75,74.65,10657300,70.04
"2008-08-21",76.31,78.65,74.58,77.63,8986700,72.84
"2008-08-22",76.89,77.48,75.07,76,5086800,71.31
"2008-08-25",76.47,77.09,74,74.9,4515100,70.28
"2008-08-26",75.33,77.18,74.45,75.23,4416800,70.59
"2008-08-27",76.27,77.62,75.32,76.68,4139800,71.95
"2008-08-28",77.27,77.51,74.36,75.92,5073800,71.23
"2008-08-29",76.47,76.76,73.48,73.73,4640400,69.18
"2008-09-02",71.7,72.4,66.78,66.8,10604200,62.68
"2008-09-03",67.07,67.68,61.46,63.24,13419400,59.34
"2008-09-04",63,64.13,60.43,62.27,10027200,58.43
"2008-09-05",62.14,63.36,60.05,61.86,7087400,58.04
"2008-09-08",63.09,63.7,58.69,59.82,7860600,56.13
"2008-09-09",58.05,58.54,52.65,52.92,14702500,49.65
"2008-09-10",54.14,55.53,51.93,55.41,13072200,51.99
"2008-09-11",54.97,57.12,53.03,56.32,10410600,52.84
"2008-09-12",56.21,59.22,55.3,58.48,10358500,54.87
"2008-09-15",54.01,55.19,49.69,50.77,11472200,47.64
"2008-09-16",47.58,54.38,46.21,54.37,17438500,51.01
"2008-09-17",54.99,55.67,50.01,51.59,13334800,48.41
