"","BCR.Open","BCR.High","BCR.Low","BCR.Close","BCR.Volume","BCR.Adjusted"
"2011-01-05",91.85,92.25,91.48,91.99,563300,89.75
"2011-01-06",92,92.59,91.6,91.96,617700,89.72
"2011-01-07",92.18,92.7,90.82,90.92,618500,88.7
"2011-01-10",90.22,91.29,90.11,91.05,617000,88.83
"2011-01-11",91.12,91.46,90.8,91,600900,88.78
"2011-01-12",91.3,91.95,90.97,91.68,402200,89.44
"2011-01-13",91.6,92.27,91.6,91.66,411100,89.43
"2011-01-14",91.41,91.72,91.01,91.25,605300,89.03
"2011-01-18",91.29,93,91.29,92.94,787500,90.67
"2011-01-19",92.78,93.04,92.19,93.02,923500,90.75
"2011-01-20",92.77,94.19,92.77,93.11,868300,91.02
"2011-01-21",93.38,93.42,92.8,92.95,460300,90.86
"2011-01-24",92.31,93.22,92.11,92.32,496100,90.24
"2011-01-25",92.32,93.14,92.16,93,401500,90.91
"2011-01-26",93.2,93.99,93.19,93.57,408800,91.47
"2011-01-27",93.69,94.27,93.19,93.97,407500,91.86
"2011-01-28",94,94,92.67,93.06,504400,90.97
"2011-01-31",93.07,94.44,92.75,94.35,778300,92.23
"2011-02-01",94.95,94.98,92.93,93.76,948400,91.65
"2011-02-02",93.58,93.86,92.76,93.27,683200,91.17
"2011-02-03",93.08,93.49,92.62,93.25,607000,91.15
"2011-02-04",93.49,93.49,92.87,93.32,374900,91.22
"2011-02-07",93.44,94.57,93.44,94.34,486400,92.22
"2011-02-08",94.3,94.38,93.37,93.75,830100,91.64
"2011-02-09",93.69,94.43,93.49,94.34,469800,92.22
"2011-02-10",94.25,96.12,94.23,96.1,953200,93.94
"2011-02-11",95.65,98.09,95.65,97.75,882600,95.55
"2011-02-14",97.52,98.68,97.46,98.11,533400,95.9
"2011-02-15",97.76,98.08,97.38,97.82,494600,95.62
"2011-02-16",97.79,98.02,97.26,97.77,620900,95.57
"2011-02-17",97.77,98.28,97.08,98.12,455500,95.91
"2011-02-18",98.27,99,97.81,98.71,1167300,96.49
"2011-02-22",97.39,97.89,95.74,96.98,836700,94.8
"2011-02-23",96.82,97.14,95.76,96,591100,93.84
"2011-02-24",96.15,96.93,95.85,96.26,724200,94.09
"2011-02-25",96.56,97.35,96.1,97.26,495800,95.07
"2011-02-28",97.1,97.78,95.62,97.76,627900,95.56
"2011-03-01",97.64,98.15,96.31,96.35,644300,94.18
"2011-03-02",96.11,96.75,95.56,96.11,464600,93.95
"2011-03-03",96.84,97.96,96.41,97.73,670200,95.53
"2011-03-04",97.49,97.92,95.93,97.22,743600,95.03
"2011-03-07",97.09,97.43,95.48,96.1,777400,93.94
"2011-03-08",96.44,97.16,96.12,96.9,701400,94.72
"2011-03-09",96.86,97.69,96.75,97.15,1473000,94.96
"2011-03-10",96.52,96.52,95.39,95.63,836600,93.48
"2011-03-11",95.64,96.21,94.82,95.75,614400,93.6
"2011-03-14",95.36,95.88,94.66,95.58,792000,93.43
"2011-03-15",94.11,95.38,93.84,95.13,1233900,92.99
"2011-03-16",94.56,95.21,93.48,94.45,1218400,92.33
"2011-03-17",95.36,95.73,94.56,94.87,638700,92.74
"2011-03-18",95.56,96.29,94.92,95.26,919800,93.12
"2011-03-21",95.81,96.49,95.56,95.74,667200,93.59
"2011-03-22",95.94,96.3,95.28,95.85,713200,93.69
"2011-03-23",95.55,96.38,94.95,96.25,652800,94.09
"2011-03-24",96.5,97.1,95.93,97.06,800400,94.88
"2011-03-25",97.48,98,97.16,97.45,441500,95.26
"2011-03-28",97.55,97.73,96.49,96.9,948500,94.72
"2011-03-29",97.29,97.53,96.78,97.39,505300,95.2
"2011-03-30",97.65,98.65,97.5,98.54,497100,96.32
"2011-03-31",98.54,99.4,98.33,99.36,1186900,97.13
"2011-04-01",99.4,100.88,98.5,100.88,940200,98.61
"2011-04-04",100.91,101.25,100.4,100.47,493000,98.21
"2011-04-05",100.11,100.58,99.96,100.14,368800,97.89
"2011-04-06",100.43,101.05,100.38,100.88,283900,98.61
"2011-04-07",99.67,101.15,99,100.69,575600,98.43
"2011-04-08",100.82,101.11,99.72,99.88,488900,97.63
"2011-04-11",100.13,100.79,99.88,100.36,625500,98.1
"2011-04-12",100.22,100.78,100.17,100.5,445200,98.24
"2011-04-13",100.68,101.04,100.37,100.56,336200,98.3
"2011-04-14",100.31,101.51,100.1,101.24,554200,98.96
"2011-04-15",101.48,102.39,101.48,102.05,661400,99.75
"2011-04-18",101.2,101.89,101.03,101.63,663700,99.34
"2011-04-19",101.61,102.22,101.44,102.17,481800,99.87
"2011-04-20",103.02,103.45,102.71,103.07,441100,100.75
"2011-04-21",103.1,104.9,103.03,104.43,1172000,102.08
"2011-04-25",103.85,103.85,102,102.95,748200,100.63
"2011-04-26",103.33,103.37,102.28,103.2,639500,100.88
"2011-04-27",103.23,104.37,103.02,104.25,643200,101.91
"2011-04-28",103.88,106.23,103.54,105.96,874800,103.76
"2011-04-29",106.23,107,105.97,106.75,769000,104.53
"2011-05-02",107,108.36,106.96,107.58,793400,105.34
"2011-05-03",107.6,108,107.02,107.93,577900,105.68
"2011-05-04",107.52,107.9,106.15,106.27,863000,104.06
"2011-05-05",106.01,107.15,105.64,106.42,582700,104.21
"2011-05-06",107.27,107.46,106.32,106.64,482500,104.42
"2011-05-09",106.57,107.5,106.46,107.36,388700,105.13
"2011-05-10",107.5,109.5,107.46,109.35,737700,107.08
