"","XOM.Open","XOM.High","XOM.Low","XOM.Close","XOM.Volume","XOM.Adjusted"
"2011-07-13",82.27,83.46,82.08,82.48,19015100,76.78
"2011-07-14",83.05,83.11,82.09,82.24,19413200,76.56
"2011-07-15",82.42,83.09,82.26,83,22705100,77.27
"2011-07-18",82.29,82.85,82.08,82.65,17343500,76.94
"2011-07-19",82.9,83.76,82.8,83.63,16424900,77.85
"2011-07-20",83.84,83.89,83.17,83.3,12808400,77.55
"2011-07-21",83.86,85.24,83.75,85.02,21359700,79.15
"2011-07-22",85.2,85.41,84.54,85.22,13152600,79.34
"2011-07-25",84.2,85.13,84.2,84.57,14007600,78.73
"2011-07-26",84.67,85.1,84.04,84.37,16226700,78.54
"2011-07-27",83.79,84.25,83.24,83.31,19820600,77.56
"2011-07-28",81.74,82.45,81.15,81.46,24556600,75.83
"2011-07-29",80.79,80.88,79.76,79.79,26609000,74.28
"2011-08-01",80.82,81.18,78.74,79.6,22864500,74.1
"2011-08-02",78.9,79.61,77.82,77.84,28410500,72.46
"2011-08-03",77.94,78.1,76.46,77.72,28373000,72.35
"2011-08-04",76.68,77.13,73.51,73.84,42624200,68.74
"2011-08-05",75.01,75.79,72.07,74.82,47167500,69.65
"2011-08-08",72.74,73.44,69.9,70.19,58857600,65.34
"2011-08-09",70.79,71.87,67.03,71.64,61753300,66.69
"2011-08-10",70.74,70.99,67.46,68.03,47758300,63.75
"2011-08-11",68.81,72.4,68.63,71.58,50328600,67.08
"2011-08-12",72.36,73.1,71.6,72,31129000,67.47
"2011-08-15",73.04,74.38,72.75,74.29,23388200,69.62
"2011-08-16",73.35,74.34,72.83,73.5,26341400,68.88
"2011-08-17",74.29,74.75,73.5,74.16,18269400,69.49
"2011-08-18",72.41,72.79,70.21,70.94,35457700,66.48
"2011-08-19",70.07,71.98,69.67,69.8,34935300,65.41
"2011-08-22",72.15,72.16,69.58,70.18,27202900,65.77
"2011-08-23",70.6,73.8,70.52,73.66,38059600,69.03
"2011-08-24",72.96,73.86,72.27,73.54,22752900,68.91
