"","NEM.Open","NEM.High","NEM.Low","NEM.Close","NEM.Volume","NEM.Adjusted"
"2011-11-28",65.16,65.86,64.74,65.24,4604900,60.41
"2011-11-29",65.51,66.45,65.07,65.29,4483400,60.46
"2011-11-30",67.23,69,66.78,68.88,7430200,63.78
"2011-12-01",68.82,69.4,67.99,68.81,5524700,63.72
"2011-12-02",69.16,69.16,66.92,67.03,5812700,62.07
"2011-12-05",66.6,67.95,65.85,66.34,6388400,61.43
"2011-12-06",65.54,67.78,65.04,67.15,6040200,62.51
"2011-12-07",67.04,67.97,66.82,67.71,4873200,63.03
"2011-12-08",66.91,67.42,65.66,66.06,5731000,61.5
"2011-12-09",66.11,67.21,66.03,66.94,3682200,62.32
"2011-12-12",65.24,65.52,64.47,65.27,6738000,60.76
"2011-12-13",64.94,65.95,62.87,63.15,6313800,58.79
"2011-12-14",61.49,62.85,60.84,61.62,9997200,57.36
"2011-12-15",62.18,62.4,61.04,61.76,6743200,57.49
"2011-12-16",62.44,63.2,61.85,62.18,8353800,57.89
"2011-12-19",62.13,62.67,60.88,61.05,6390000,56.83
"2011-12-20",62.21,62.96,61.78,62.61,5239700,58.29
"2011-12-21",62.41,63,62.05,62.88,4734600,58.54
"2011-12-22",62.46,62.6,60.76,61.01,6230600,56.8
"2011-12-23",61.33,61.9,60.85,61.88,2985200,57.61
"2011-12-27",61.62,62.09,61.21,61.37,1999500,57.13
"2011-12-28",61.12,61.41,59.09,59.42,5789000,55.32
"2011-12-29",58.36,60.51,58.25,60.36,5366000,56.19
"2011-12-30",60.73,61.09,59.69,60.01,3315600,55.87
"2012-01-03",61.41,62.32,61.22,62.08,7418700,57.79
"2012-01-04",61.78,62.61,61.4,61.89,4248400,57.62
"2012-01-05",61.48,62.45,61.2,62.1,5545100,57.81
"2012-01-06",62.46,62.63,61.39,61.97,4218400,57.69
"2012-01-09",62.3,62.34,61.02,61.48,3825700,57.23
"2012-01-10",62.23,63.1,62.16,62.65,6354100,58.32
"2012-01-11",62.77,63.4,62.15,63.34,5040400,58.97
"2012-01-12",63.56,64.62,63.56,64.04,5897100,59.62
"2012-01-13",63.68,63.92,62.56,63.39,4206900,59.01
"2012-01-17",63.55,63.55,60.33,60.94,9163100,56.73
"2012-01-18",60.24,60.77,59.88,60.35,8127400,56.18
"2012-01-19",59.97,60.29,58.66,59.6,9386200,55.48
"2012-01-20",59.72,60.15,58.93,59.27,8319500,55.18
"2012-01-23",59.49,59.98,58.95,59.26,6801200,55.17
"2012-01-24",58.65,58.82,57.25,57.48,8289400,53.51
