"","CL.Open","CL.High","CL.Low","CL.Close","CL.Volume","CL.Adjusted"
"2011-11-30",90.63,91.64,90.52,91.5,6007400,43.42
"2011-12-01",91.21,91.98,89.99,90.11,5925600,42.76
"2011-12-02",90.89,91.25,90.09,90.19,3954600,42.8
"2011-12-05",90.85,90.98,90.1,90.42,3482600,42.91
"2011-12-06",90.67,90.85,90.06,90.54,3442200,42.97
"2011-12-07",90.58,91.57,89.9,91.2,3932000,43.28
"2011-12-08",90.86,91.26,90.28,90.55,3609000,42.97
"2011-12-09",90.48,91.02,90.27,90.46,2969400,42.93
"2011-12-12",90.44,90.84,89.39,90.21,3299600,42.81
"2011-12-13",90.19,90.59,89.51,89.69,4277800,42.56
"2011-12-14",89.81,90.44,89.13,89.3,3762200,42.38
"2011-12-15",89.78,90.8,89.59,90.58,3940800,42.99
"2011-12-16",91,91.04,89.28,89.89,6571400,42.66
"2011-12-19",90.46,91.24,89.73,89.91,3302800,42.67
"2011-12-20",90.48,91.6,90.33,91.55,3367000,43.45
"2011-12-21",91.75,93,91.58,92.97,5460400,44.12
"2011-12-22",92.89,92.89,91.9,92.41,3233200,43.85
"2011-12-23",92.36,93.15,92.36,93.09,2386400,44.18
"2011-12-27",93.09,93.85,93.02,93.34,2254200,44.3
"2011-12-28",93.45,93.62,92.61,92.73,2821000,44.01
"2011-12-29",92.75,93.31,92.42,93.22,3420400,44.24
"2011-12-30",92.8,93.09,92.1,92.39,2985400,43.85
"2012-01-03",91.39,92.12,90.6,91.08,6347600,43.22
"2012-01-04",91,91.08,90.13,90.6,4350200,43
"2012-01-05",90.16,90.45,89.51,90.14,5232800,42.78
"2012-01-06",90.41,90.45,89.39,89.8,3881000,42.62
"2012-01-09",90.14,90.25,89.48,89.78,4152400,42.61
"2012-01-10",90.01,90.15,89.25,89.45,5679200,42.45
"2012-01-11",89.37,89.39,88.15,88.51,5438000,42
"2012-01-12",88.75,89.05,88.23,88.55,15039200,42.02
"2012-01-13",88.27,88.65,87.85,88.52,14450200,42.01
"2012-01-17",89.03,89.88,89.03,89.73,14860200,42.58
"2012-01-18",89.75,90.5,89.54,90.31,3905400,42.86
"2012-01-19",89.98,90.48,89.59,89.97,5160600,42.7
"2012-01-20",89.61,89.66,88.31,89,6467200,42.51
"2012-01-23",88.58,88.95,88.16,88.37,4333600,42.21
"2012-01-24",87.73,88.4,87.22,88.25,5123200,42.15
"2012-01-25",87.92,89.59,87.92,89.44,4835000,42.72
"2012-01-26",89.86,92.14,89.74,91.35,9754800,43.63
"2012-01-27",90.78,90.9,90.04,90.4,5654600,43.18
