"","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume","ROK.Adjusted"
"2008-06-09",54.12,54.43,53.26,53.8,1675300,46.47
"2008-06-10",53.52,54.69,53.43,54.04,1158500,46.67
"2008-06-11",53.72,53.97,52.5,52.54,1304100,45.38
"2008-06-12",52.99,53.61,52.1,52.43,1893500,45.28
"2008-06-13",52.93,54.18,52.93,54.16,1055100,46.78
"2008-06-16",53.91,56.03,53.59,55.63,1995500,48.05
"2008-06-17",56.12,56.12,54.61,54.61,1139900,47.17
"2008-06-18",53.9,54.7,53.77,53.77,1346700,46.44
"2008-06-19",53.54,53.92,53.06,53.64,1640300,46.33
"2008-06-20",53.42,53.52,52.36,52.67,1657600,45.49
"2008-06-23",52.79,53.02,52.34,52.87,960700,45.66
"2008-06-24",52.84,52.92,51.7,52.19,945900,45.08
"2008-06-25",47.9,48,44.89,45.77,7637700,39.53
"2008-06-26",45.17,45.34,42.84,42.91,4084600,37.06
"2008-06-27",43.03,43.92,42.85,43.92,3749700,37.93
"2008-06-30",42.75,43.94,42.75,43.73,2509100,37.77
"2008-07-01",43.4,44,42.73,43.4,2723500,37.48
"2008-07-02",43.68,43.68,42.3,42.32,2518600,36.55
"2008-07-03",42.76,43.54,42.4,42.97,961900,37.11
"2008-07-07",42.95,43.86,42.18,42.87,1647400,37.03
"2008-07-08",42.51,43.36,41.99,43.22,2266600,37.33
"2008-07-09",43.22,43.83,41.77,42,1609100,36.27
"2008-07-10",42.28,42.77,41.6,42.47,1843000,36.68
"2008-07-11",41.8,42.3,41.13,41.65,2386600,35.97
"2008-07-14",42.23,42.48,41.24,41.77,1897400,36.08
"2008-07-15",41.26,42.25,40.58,41.54,2698500,35.88
"2008-07-16",41.53,42.73,41.04,42.73,2407500,36.9
"2008-07-17",43.04,44.76,42.8,44.22,3411600,38.19
"2008-07-18",44.37,44.37,43.31,43.63,1666500,37.68
"2008-07-21",43.52,44.18,43.21,43.63,2389200,37.68
"2008-07-22",46.5,46.5,44.28,45.19,2486500,39.03
"2008-07-23",45.01,46.2,44.68,45.1,1768900,38.95
"2008-07-24",44.82,45.01,42.84,43.19,1927900,37.3
"2008-07-25",43.54,43.89,42.6,43.72,1431200,37.76
"2008-07-28",42.86,44.49,42.86,43.57,1518800,37.63
"2008-07-29",43.84,45.06,43.41,44.91,1039300,38.79
"2008-07-30",44.54,45.73,44.54,45.42,776500,39.23
"2008-07-31",45.42,45.68,44.37,44.51,1222400,38.44
"2008-08-01",44.32,45.22,43.4,43.82,1120200,37.85
"2008-08-04",44.1,44.47,43.74,43.85,1107400,37.87
"2008-08-05",43.62,45.78,43.62,45.75,1556200,39.51
"2008-08-06",45.46,46.01,44.98,45.85,1190400,39.6
"2008-08-07",45.2,45.89,44.69,45.13,1373100,39.23
"2008-08-08",44.84,47.21,44.84,46.86,1920600,40.73
"2008-08-11",46.87,48.12,46.06,47.73,1046200,41.49
"2008-08-12",48.21,49.35,47.6,48.7,1723800,42.33
"2008-08-13",47.85,49.07,47.81,48.79,1673300,42.41
"2008-08-14",48.13,49.08,47.94,48.46,738500,42.12
