"","UTX.Open","UTX.High","UTX.Low","UTX.Close","UTX.Volume","UTX.Adjusted"
"2012-09-28",77.48,78.41,76.93,78.29,6074900,75.65
"2012-10-01",78.56,79.37,78.18,78.35,3520000,75.71
"2012-10-02",78.58,78.99,77.98,78.39,3024200,75.75
"2012-10-03",78.57,78.76,77.93,78.56,3673500,75.91
"2012-10-04",78.93,79.23,78.44,78.53,2933100,75.88
"2012-10-05",79.1,79.27,78.18,78.51,2722000,75.86
"2012-10-08",78.19,78.53,77.78,78.37,1961100,75.73
"2012-10-09",78.21,78.49,77.33,77.33,4118300,74.72
"2012-10-10",77.2,77.39,75.85,76.02,4991400,73.46
"2012-10-11",76.52,77.15,76.04,76.05,4407900,73.49
"2012-10-12",76,76.33,75.69,75.96,4291200,73.4
"2012-10-15",76.13,76.55,75.88,76.15,2854400,73.58
"2012-10-16",76.68,77.71,76.4,77.6,2895900,74.98
"2012-10-17",77.73,78.77,77.52,78.54,3610900,75.89
"2012-10-18",78.33,79.36,78.05,79.23,3317000,76.56
"2012-10-19",78.82,79.14,77.64,77.99,4107400,75.36
"2012-10-22",77.65,78.85,77.32,77.83,3657100,75.21
"2012-10-23",76.51,78.5,76.35,77.07,6585000,74.47
"2012-10-24",77.6,78.31,76.79,77.9,5717100,75.27
"2012-10-25",78.24,78.6,77.02,77.29,4529300,74.68
"2012-10-26",77.45,78.43,77.29,78.2,4323600,75.56
"2012-10-31",79.18,79.18,77.85,78.16,4094800,75.53
"2012-11-01",78.46,80.39,78.12,79.06,6020600,76.39
"2012-11-02",79.29,79.9,78.03,78.07,4894500,75.44
"2012-11-05",78,78.33,77.71,77.9,3515000,75.27
"2012-11-06",78.06,80.26,77.9,79.97,4598100,77.27
"2012-11-07",79.16,79.16,76.91,77.68,5179500,75.06
"2012-11-08",77.44,77.7,76.15,76.16,3399800,73.59
"2012-11-09",76.01,76.6,75.64,75.84,3855100,73.28
"2012-11-12",76.17,77.19,75.76,76.95,3057200,74.36
"2012-11-13",76.38,77.79,76.26,77,3731300,74.4
