"","CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume","CRM.Adjusted"
"2008-07-17",67.23,69.98,66.96,69.62,6846400,17.41
"2008-07-18",69.88,70.94,68,70.74,5493600,17.68
"2008-07-21",70.44,70.98,68.78,69.38,4720800,17.34
"2008-07-22",67.15,67.23,64.49,65.68,11070000,16.42
"2008-07-23",65.3,68.06,64.37,64.59,7498400,16.15
"2008-07-24",65.09,65.09,63.1,63.45,4163600,15.86
"2008-07-25",63.46,64.82,62.75,63.75,4079200,15.94
"2008-07-28",63.75,65.45,62.54,62.65,3890400,15.66
"2008-07-29",63.11,64.44,63.1,63.72,6876800,15.93
"2008-07-30",64.13,64.99,63.03,64.93,4267600,16.23
"2008-07-31",64.25,64.6,63.29,63.79,4683600,15.95
"2008-08-01",64.13,64.39,62.79,64.29,4344000,16.07
"2008-08-04",64.26,65.17,63.2,65.05,5245200,16.26
"2008-08-05",65.16,68.62,65.09,68.21,6574000,17.05
"2008-08-06",67.85,68.8,66.9,68.56,4924000,17.14
"2008-08-07",68.51,69.34,67.26,67.62,3806000,16.91
"2008-08-08",67.65,70.16,67.02,69.59,8310400,17.4
"2008-08-11",69.86,71.72,69.29,70.43,6158000,17.61
"2008-08-12",70.1,71,69.52,70.32,5032400,17.58
"2008-08-13",69.85,70.11,68.57,69.15,7038400,17.29
"2008-08-14",68.07,68.32,66.54,67.22,8932000,16.81
"2008-08-15",67.77,68.48,65.61,66.31,5223200,16.58
"2008-08-18",66.32,66.61,63.91,64.64,5611600,16.16
"2008-08-19",64.38,66.05,64.25,65.48,5137600,16.37
"2008-08-20",66.99,66.99,64.75,65.3,12539600,16.33
"2008-08-21",58.47,58.47,52.73,53.25,56010400,13.31
"2008-08-22",54.34,56.75,53.8,55.97,23180800,13.99
"2008-08-25",55.07,57.44,55.07,56.53,11970400,14.13
"2008-08-26",57.95,58.21,55.39,56.56,16361200,14.14
"2008-08-27",56.5,57.85,56.22,57.01,9659600,14.25
"2008-08-28",57.03,57.79,56.66,57.7,4914800,14.43
"2008-08-29",56.66,56.98,55.62,56.02,5167600,14.01
"2008-09-02",56.5,57.47,54.9,55.15,6189600,13.79
"2008-09-03",54.89,55.91,53.26,53.98,7792800,13.49
"2008-09-04",53.42,54.31,52.41,53.9,9488400,13.48
"2008-09-05",52.75,54.67,52.28,54.45,7794000,13.61
"2008-09-08",55.78,56.05,52.38,54.85,13206800,13.71
"2008-09-09",54.8,55.83,51.72,52.1,11921200,13.02
"2008-09-10",54.95,57.12,54.7,56.09,22670000,14.02
"2008-09-11",54.85,58.1,54.29,58,15580400,14.5
"2008-09-12",57.54,57.89,56.66,57.2,87332400,14.3
"2008-09-15",54.27,57.2,54.27,54.8,13044000,13.7
"2008-09-16",53.81,56.24,53.15,56.24,11338800,14.06
"2008-09-17",54.67,55.5,52.94,53.32,12199600,13.33
